All   channel acquired
Date[dd-mm-yy]= 01-11-22   Time= 17:10:36
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  1.841900	     0.020	     0.000	    -0.080	     0.082
  1.853200	     0.030	     0.000	    -0.090	     0.095
  1.864500	     0.050	     0.020	    -0.070	     0.088
  1.875800	     0.040	     0.010	    -0.070	     0.081
  1.887100	     0.010	     0.020	    -0.090	     0.093
  1.898400	     0.030	     0.010	    -0.090	     0.095
  1.909700	     0.030	    -0.010	    -0.080	     0.086
  1.921000	     0.020	     0.010	    -0.080	     0.083
  1.932300	     0.010	     0.000	    -0.090	     0.091
  1.943600	     0.030	     0.000	    -0.080	     0.085
  1.954900	     0.040	     0.010	    -0.090	     0.099
  1.966200	     0.020	     0.040	    -0.080	     0.092
  1.977500	     0.030	     0.010	    -0.080	     0.086
  1.988800	     0.030	     0.010	    -0.090	     0.095
  2.000100	     0.030	     0.000	    -0.100	     0.104
  2.011400	     0.050	     0.010	    -0.080	     0.095
  2.022700	     0.020	     0.020	    -0.090	     0.094
  2.034000	     0.040	     0.010	    -0.090	     0.099
  2.045300	     0.020	     0.020	    -0.090	     0.094
  2.056600	     0.020	     0.010	    -0.080	     0.083
  2.067900	     0.040	     0.020	    -0.080	     0.092
  2.079200	     0.010	     0.000	    -0.100	     0.100
  2.090500	     0.030	     0.010	    -0.090	     0.095
  2.101800	     0.020	     0.010	    -0.090	     0.093
  2.113100	     0.020	     0.000	    -0.090	     0.092
  2.124400	     0.000	    -0.010	    -0.080	     0.081
  2.135700	     0.030	     0.000	    -0.070	     0.076
  2.147000	     0.040	     0.010	    -0.070	     0.081
  2.158300	     0.030	     0.000	    -0.090	     0.095
  2.169600	     0.020	     0.000	    -0.090	     0.092
  2.180900	     0.020	     0.010	    -0.100	     0.102
  2.192200	     0.020	     0.010	    -0.080	     0.083
  2.203500	     0.010	     0.010	    -0.100	     0.101
  2.214800	     0.030	     0.000	    -0.090	     0.095
  2.226100	     0.020	     0.000	    -0.100	     0.102
  2.237400	     0.020	     0.000	    -0.100	     0.102
  2.248700	     0.020	    -0.010	    -0.080	     0.083
  2.260000	     0.010	     0.000	    -0.100	     0.100
  2.271300	     0.030	     0.000	    -0.080	     0.085
  2.282600	     0.030	     0.000	    -0.110	     0.114
  2.293900	     0.030	     0.010	    -0.100	     0.105
  2.305200	     0.020	     0.010	    -0.090	     0.093
  2.316500	     0.030	    -0.010	    -0.070	     0.077
  2.327800	     0.030	     0.020	    -0.090	     0.097
  2.339100	     0.030	     0.000	    -0.090	     0.095
  2.350400	     0.030	     0.010	    -0.090	     0.095
  2.361700	     0.040	     0.020	    -0.090	     0.100
  2.373000	     0.040	     0.000	    -0.060	     0.072
  2.384300	     0.030	     0.000	    -0.090	     0.095
  2.395600	     0.030	     0.020	    -0.070	     0.079
  2.406900	     0.040	     0.000	    -0.090	     0.098
  2.418200	     0.010	     0.010	    -0.070	     0.071
  2.429500	     0.020	     0.000	    -0.080	     0.082
  2.440800	     0.040	    -0.010	    -0.080	     0.090
  2.452100	     0.030	     0.000	    -0.090	     0.095
  2.463400	     0.020	     0.010	    -0.070	     0.073
  2.474700	     0.050	     0.000	    -0.080	     0.094
  2.486000	     0.020	    -0.020	    -0.090	     0.094
  2.497300	     0.020	     0.000	    -0.100	     0.102
  2.508600	     0.020	     0.010	    -0.080	     0.083
  2.519900	     0.010	     0.010	    -0.090	     0.091
  2.531200	     0.020	     0.010	    -0.100	     0.102
  2.542500	     0.030	     0.000	    -0.070	     0.076
  2.553800	     0.030	     0.000	    -0.100	     0.104
  2.565100	     0.030	     0.010	    -0.090	     0.095
  2.576400	     0.040	    -0.010	    -0.090	     0.099
  2.587700	     0.020	     0.000	    -0.080	     0.082
  2.599000	     0.030	     0.010	    -0.090	     0.095
  2.610300	     0.040	     0.010	    -0.070	     0.081
  2.621600	     0.030	     0.000	    -0.080	     0.085
  2.632900	     0.030	     0.000	    -0.080	     0.085
  2.644200	     0.030	     0.000	    -0.070	     0.076
  2.655500	     0.030	     0.000	    -0.090	     0.095
  2.666800	     0.020	     0.000	    -0.080	     0.082
  2.678100	     0.040	     0.010	    -0.070	     0.081
  2.689400	     0.020	     0.010	    -0.080	     0.083
  2.700700	     0.030	    -0.010	    -0.090	     0.095
  2.712000	     0.030	     0.010	    -0.090	     0.095
  2.723300	     0.020	    -0.010	    -0.090	     0.093
  2.734600	     0.030	    -0.010	    -0.120	     0.124
  2.745900	     0.040	     0.010	    -0.080	     0.090
  2.757200	     0.020	     0.010	    -0.100	     0.102
  2.768500	     0.030	     0.010	    -0.090	     0.095
  2.779800	     0.040	     0.000	    -0.090	     0.098
