All   channel acquired
Date[dd-mm-yy]= 20-10-22   Time= 15:15:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  1.354560	    -0.040	    -0.030	    -0.030	     0.058
  1.361200	    -0.010	    -0.040	     0.010	     0.042
  1.367840	    -0.040	    -0.010	    -0.010	     0.042
  1.374480	     0.000	    -0.010	    -0.030	     0.032
  1.381120	    -0.030	     0.020	    -0.050	     0.062
  1.387760	     0.010	    -0.040	    -0.030	     0.051
  1.394400	     0.010	    -0.010	    -0.010	     0.017
  1.401040	    -0.010	    -0.020	    -0.050	     0.055
  1.407680	    -0.020	    -0.030	     0.000	     0.036
  1.414320	    -0.020	    -0.010	    -0.010	     0.024
  1.420960	    -0.030	    -0.020	    -0.010	     0.037
  1.427600	    -0.010	     0.030	     0.010	     0.033
  1.434240	    -0.010	     0.000	    -0.060	     0.061
  1.440880	    -0.010	     0.000	     0.000	     0.010
  1.447520	    -0.030	     0.020	     0.000	     0.036
  1.454160	     0.010	    -0.010	     0.000	     0.014
  1.460800	    -0.020	    -0.030	     0.010	     0.037
  1.467440	    -0.020	    -0.010	    -0.050	     0.055
  1.474080	    -0.030	    -0.070	     0.000	     0.076
  1.480720	    -0.010	     0.000	     0.000	     0.010
  1.487360	    -0.020	    -0.010	    -0.010	     0.024
  1.494000	    -0.020	    -0.010	    -0.030	     0.037
  1.500640	    -0.010	     0.000	    -0.010	     0.014
  1.507280	    -0.010	    -0.040	     0.000	     0.041
  1.513920	    -0.030	    -0.020	    -0.030	     0.047
  1.520560	     0.010	    -0.020	     0.000	     0.022
  1.527200	    -0.010	    -0.010	    -0.020	     0.024
  1.533840	     0.000	    -0.010	     0.000	     0.010
  1.540480	     0.000	    -0.010	    -0.020	     0.022
  1.547120	    -0.030	    -0.020	    -0.020	     0.041
  1.553760	    -0.040	    -0.020	    -0.030	     0.054
  1.560400	     0.000	     0.000	     0.010	     0.010
  1.567040	    -0.040	    -0.030	    -0.010	     0.051
  1.573680	     0.000	    -0.030	    -0.020	     0.036
  1.580320	    -0.010	    -0.030	    -0.020	     0.037
  1.586960	    -0.010	    -0.040	    -0.030	     0.051
  1.593600	    -0.030	     0.000	     0.000	     0.030
